1,1,216,216,0
2,1,207,207,0
3,1,70,70,0
91,1,180,180,0
82,1,185,185,0
83,1,199,199,0
84,1,67,67,0
220,1,195,195,0
343,1,197,197,0
344,1,185,185,0
345,1,61,61,0
398,1,207,207,0
553,1,185,185,0
554,1,168,168,0
555,1,70,70,0
676,1,195,195,0
677,1,195,195,0
678,1,78,78,0
811,1,204,204,0
812,1,192,192,0
813,1,63,63,0
845,1,215,215,0
846,1,60,60,0
960,1,75,75,0
1023,1,64,64,0
1140,1,66,66,0
1149,1,91,91,0
1168,1,203,203,0
1169,1,191,191,0
1170,1,70,70,0
1281,1,74,74,0
1353,1,58,58,0
1391,1,203,203,0
1392,1,58,58,0
1581,1,66,66,0
1587,1,66,66,0
1599,1,65,65,0
1702,1,181,181,0
1703,1,193,193,0
1704,1,67,67,0
1741,1,188,188,0
1742,1,187,187,0
1743,1,70,70,0
1752,1,87,87,0
2022,1,67,67,0
2032,1,220,220,0
2033,1,206,206,0
2034,1,70,70,0
2036,1,213,213,0
2037,1,69,69,0
2039,1,194,194,0
2040,1,76,76,0
2050,1,206,206,0
2051,1,194,194,0
2052,1,70,70,0
2086,1,204,204,0
2087,1,181,181,0
2088,1,61,61,0
2163,1,68,68,0
2175,1,77,77,0
2182,1,180,180,0
2183,1,201,201,0
2184,1,59,59,0
2236,1,195,195,0
2237,1,193,193,0
2238,1,77,77,0
2255,1,197,197,0
2256,1,79,79,0
2281,1,190,190,0
2282,1,208,208,0
2283,1,70,70,0
2298,1,57,57,0
2300,1,207,207,0
2301,1,65,65,0
2312,1,188,188,0
2313,1,66,66,0
2334,1,61,61,0
2348,1,219,219,0
2349,1,74,74,0
2373,1,54,54,0
2379,1,51,51,0
2388,1,73,73,0
2412,1,66,66,0
2426,1,204,204,0
2427,1,72,72,0
2454,1,70,70,0
2463,1,77,77,0
2468,1,197,197,0
2469,1,72,72,0
2490,1,58,58,0
29,1,201,201,0
62,1,194,194,0
92,1,204,204,0
101,1,201,201,0
212,1,209,209,0
221,1,193,193,0
368,1,193,193,0
560,1,216,216,0
770,1,200,200,0
785,1,205,205,0
836,1,206,206,0
854,1,197,197,0
878,1,199,199,0
914,1,213,213,0
917,1,199,199,0
938,1,207,207,0
1052,1,212,212,0
